Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
AGRARIA DEL VALLES S.C.C.L.,"CR RIBES (CORRO D'AVALL), 98",,Corro D'Avall,08520,ES-B,ES,ESF08792269
A. GRATACOS S.A.U.,"PS GRACIA, 108 BJ",,Barcelona,08008,ES-B,ES,ESA08203259
AGRICOLA MARCILLA S.L.,"VERNEDA DEL CONGOST, S/N P CIRCUIT",,Montmelo,08160,ES-B,ES,ESB58122151
AGROCAMPING S.L.,"BISBE SIVILLA, 42 PR 2",,Barcelona,08022,ES-B,ES,ESB63485247
AGRO SYSTEMS CONSORCIOS S.A.,"AV ARRAONA, 41",,Barbera Del Valles,08210,ES-B,ES,ESA46301339
AGUASALUD EUROPA S.L.,"COLLITA, 14",,Rubi,08191,ES-B,ES,ESB64932627
AGUIRRE NEWMAN ARQUITECTURA BARCELONA S.A.,"AV DIAGONAL, S/N 609 615",,Barcelona,08028,ES-B,ES,ESA62184239
AGUIRRE NEWMAN BARCELONA S.A.,"AV DIAGONAL, 609",,Barcelona,08028,ES-B,ES,ESA60987930
AGUSTI COLL S.A.,"COBALT, 6 B J",,Barcelona,08038,ES-B,ES,ESA58147430
AGUSTIN TORRELLA S.A.,"DEL MIG, 59",,Montcada I Reixac,08110,ES-B,ES,ESA58592627
AGUSTIN VILAR S.A.,"LA TERRA, 26",,Terrassa,08227,ES-B,ES,ESA08553687
A. HOTELS S.A.,"MALLORCA, 251",,Barcelona,08008,ES-B,ES,ESA58377052
AINCAT REVESTIMIENTOS S.L.,"BALMES, 152 9",,Barcelona,08008,ES-B,ES,ESB61425732
AIRMATIC S.A.,"CA N'ALZINA, 112",,Torre-Romeu,08202,ES-B,ES,ESA08462988
AIR PES SISTEMAS INTEGRALES DE MANUTENCION Y PESAJ,"PG INDUSTRIAL CAN ROQUETAS, 3 CAN LLEGET 2",,Torre-Romeu,08202,ES-B,ES,ESB62919212
AIRTRANSA TRANSPORTES DE AGENTES INDEPENDIENTES RE,"BALMES, 32 PR 1",,Barcelona,08007,ES-B,ES,ESA08704496
AISLAMIENTOS Y DIVISIONES DEL VALLES S.L.,"BRUC, 104",,Sabadell,08203,ES-B,ES,ESB62423785
AISLAMIENTO Y ESTANQUEIDAD ERICA S.L.,"MARROC, 160 BJ 1",,Barcelona,08019,ES-B,ES,ESB60711777
AISMAN S. L. S. D. GESTIO S. L. UTE LEY 18 /. 1982,"DIPUTACIO, 249 3 2",,Barcelona,08007,ES-B,ES,ESU61812160
AJHOURY DESARROLLOS TURISTICOS S.A.,"PS GRACIA, 54 5 D",,Barcelona,08007,ES-B,ES,ESA08756553
AKASVAYU SPORT MANAGEMENT S.L.,"PEDRO I PONS, 9 13",,Barcelona,08034,ES-B,ES,ESB63944631
ALAMBRES Y ACEROS LA MOLA S.A.,"VINYALS, 163",,Terrassa,08221,ES-B,ES,ESA58478314
ALARMAS SPITZ S.A.,"SEPULVEDA, 101 EN 1",,Barcelona,08015,ES-B,ES,ESA08769572
ALAR METALES PRECIOSOS S.L.,"RB CATALUNYA, 70 2 2",,Barcelona,08007,ES-B,ES,ESB62804570
ALBERTO RAMENTOL S.A.,"SARAGOSSA, 47 EN 3",,Barcelona,08006,ES-B,ES,ESA08731044
ALBINI ARGIA S.A.,"ARAGO, 295 7",,Barcelona,08009,ES-B,ES,ESA08993735
ALCOFOL S.L.,"ISAAC PERAL, 7",,Can Castells,08420,ES-B,ES,ESB60594462
ALCOVER QUIMICA S.L.,"FARELL, 9 2 1",,Barcelona,08014,ES-B,ES,ESB63059711
ALDICASA S.L.,"MARE DE DEU DE MONTSERRAT, 15",,Sant Adria De Besos,08930,ES-B,ES,ESB60773710
ALESSIO SPORT WHEELS PROMOTION ESPAÑA S.L.,"AV VALLES, 32",,Cardedeu,08440,ES-B,ES,ESB60956687
ALEX CAIAZZO TRADING S.L.U.,"RD SANT PERE, 40 4 1",,Barcelona,08010,ES-B,ES,ESB63746150
ALFA CONSULTING WORLDWIDE S.L.,"AV DIAGONAL, 537 EN C",,Barcelona,08029,ES-B,ES,ESB61110110
ALFEMATIC S.A.,"CR RELLINARS, 345",,Terrassa,08225,ES-B,ES,ESA08656043
ALFERCA S.A.,"INDUSTRIA, S/N PG COMPTE SERT NV 2",,Castellbisbal,08755,ES-B,ES,ESA59732149
ALFRAYMAN S.L.,"CR CAN RUTI, S/N NV 1",,Badalona,08916,ES-B,ES,ESB08961641
ALGLASS S.A.,"FILADORES, 7",,Badalona,08918,ES-B,ES,ESA08852337
ALGRAVE PROMOCIONS S.L.U.,"MATARO, 122",,Cardedeu,08440,ES-B,ES,ESB65081705
ALIANPLAST SERVEIS S.L.,"GRAN VIAL, 9",,Montornes Nord,08170,ES-B,ES,ESB63787790
ALIBRI LIBRERIA S.L.,"BALMES, 26",,Barcelona,08007,ES-B,ES,ESB61688578
