Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
COMERCIAL DE VALVULAS Y ACCESORIOS S.L.,"BOSC TANCAT, 6",,Cerdanyola Del Valles,08290,ES-B,ES,ESB64953672
COMERCIAL DIMAC S.L.,"CIUTAT DE GRANADA, 34 BJ",,Barcelona,08005,ES-B,ES,ESB58130626
COMERCIAL DISBET S.L.,"MOLI DE CAN BASSA, S/N 1 23",,Mollet Del Valles,08100,ES-B,ES,ESB58882002
COMERCIAL DISTRIBUIDORA DE BEBIDAS DEL VALLES S.A.,"PALAUTORDERA, S/N NAV DEL 40",,Sanata,08450,ES-B,ES,ESA58311945
COMERCIALE INDUSTRIAL ARIES S.A.,"ALI BEI, 25 7 1",,Barcelona,08010,ES-B,ES,ESA08081986
COMERCIAL FLEXICO S.A.,"RD SANT PERE, 66",,Barcelona,08010,ES-B,ES,ESA08199382
COMERCIAL GUMMI S.A.,"TRAVESSIA INDUSTRIAL, 111 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA58879446
COMERCIAL IMPALA S.A.,"AMIGO, 25 BJ 1",,Barcelona,08021,ES-B,ES,ESA08115255
COMERCIAL IMPORTADORA GAFA S.A.,"AV DIAGONAL, 349 BJ",,Barcelona,08037,ES-B,ES,ESA08663098
COMERCIAL INTERNACIONAL KUBIK EGARENSE S.A.,"SANTA ANNA, 119",,Cerdanyola Del Valles,08290,ES-B,ES,ESA08810889
COMERCIAL MONTSEC S.A.,"SEVERO OCHOA, 36",,Granollers,08403,ES-B,ES,ESA58241084
COMERCIAL NICEM EXINTE S.A.,"DE LA FORJA, 2",,Poligon Industrial Riera De Caldes,08184,ES-B,ES,ESA58312711
COMERCIAL PRODUCTOS DE LIMPIEZA S.A.,"INDUSTRIA, 8",,Castellbisbal,08755,ES-B,ES,ESA08869695
COMERCIAL REPROGRAFICA Y MAQUINARIA DE OFICINA S.A,"AV DIAGONAL, 299 5 2",,Barcelona,08013,ES-B,ES,ESA08774465
COMERCIAL RESTSERVICE 2003 S.L.,"MALLORCA, 36",,Sant Quirze Del Valles,08192,ES-B,ES,ESB63204341
COMERCIAL ROJAS ASSENS S.A.,"ILLA DE BUDA, 2",,Sant Quirze Del Valles,08192,ES-B,ES,ESA08788960
COMERCIAL SERVICIOS ALIMENTICIOS S.A.,"PZ NOU, 1 BJ 1",,Barcelona,08038,ES-B,ES,ESA17075300
COMERCIAL VALLESANA DE SUMINISTROS S.A.,"PZ CATALUNYA, 6",,Caldes De Montbui,08140,ES-B,ES,ESA08217556
COMERCIAL VICTOR MANUEL S.A.,"PG CAN COLL CL FONDO, S/N 17 19",,Lliça De Vall,08185,ES-B,ES,ESA43040526
COMERGRUP S.L.,"NARCIS MONTURIOL, 24",,Sant Quirze Del Valles,08192,ES-B,ES,ESB60085867
COMESTIBLES ZAFON S.L.,"AV CARRILET, 219 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB58080250
COMGRAFIC S.A.,"LLULL, 105 BJ",,Barcelona,08005,ES-B,ES,ESA58457524
COMINDEX S.A.,"AV DEL RIU MOGENT, 16",,Montornes Nord,08170,ES-B,ES,ESA08115149
COMOSA STRAPP S.A.,"CAN BERNEDA, 24 NAV P 4 31",,Ripollet,08291,ES-B,ES,ESA58530478
COMPAK COFEE GRINDERS S.A.,"MOLI D'EN BARRI, S/N PAR B",,El Rieral De Bigues,08415,ES-B,ES,ESA60764065
COMPANYIA CENTRAL LLIBRETERA S.L.,"MALLORCA, 237",,Barcelona,08008,ES-B,ES,ESB60985363
COMPANYIA TURISTICA ALT EMPORDA S.L.,"AV PAU CASALS, 13 1",,Barcelona,08021,ES-B,ES,ESB62089891
COMPAÑIA DE EQUIPOS PARA OFICINA S.A.,"ENRIC GRANADOS, 65",,Barcelona,08008,ES-B,ES,ESA08203853
COMPAÑIA ESPAÑOLA DE VIVIENDAS EN ALQUILER S.A.,"AV MERIDIANA, 350 3",,Barcelona,08027,ES-B,ES,ESA28218543
COMPAÑIA EUROPEA DE INGENIERIA CIVIL S.A.,"RAMON CASAS, 8",,Badalona,08911,ES-B,ES,ESA08145500
COMPAÑIA GENERAL DE ALIMENTACION Y BEBIDAS S.L.,"ENERGIA, 71",,Badalona,08915,ES-B,ES,ESB59856534
COMPAÑIA GENERAL DE COMERCIO S.A.,"DIPUTACIO, 279 EN 1",,Barcelona,08007,ES-B,ES,ESA08003022
COMPAÑIA MUNDIAL DE IMPORTACIONES TEXTILES S.A.,"GRAVINA, 49",,Sant Adria De Besos,08930,ES-B,ES,ESA58267238
COMPAÑIA SUDAMERICANA DE VAPORES,"CAN RABIA, S/N 4",,Barcelona,08017,ES-B,ES,ESB64399108
COMPLEMENTOS DEL VIDRIO VITRUM S.A.,"CORSEGA, 108 BJ",,Barcelona,08029,ES-B,ES,ESA08719676
COMPLEX ESPORTIU LES CORTS S.L.,"TRAVESSERA DE LES CORTS, 252",,Barcelona,08014,ES-B,ES,ESB60011137
COMPRINS ALIMENTACIO S.L.,"SANT PASQUAL, 47 BJ",,Santa Coloma De Gramenet,08923,ES-B,ES,ESB61868535
COMPUTER TECHNOLOGY CATALUNYA S.L.,"COMTE BORRELL, 241 BJ",,Barcelona,08029,ES-B,ES,ESB60960200
CONBASA XXI S.L.,"MENDEZ NUÑEZ, 49 BJ",,Badalona,08911,ES-B,ES,ESB63160311
CONDENSIA QUIMICA S.A.,"JONQUERA, 16 A",,Barcelona,08005,ES-B,ES,ESA08394801
CONDUCTORES ELECTRICOS CEMI S.L.,"CR C-17, S/N KM 23,15",,Parets Del Valles,08150,ES-B,ES,ESB60352317
CONEI COMPAÑIA INTERNACIONAL DE INVERSIONES S.L.,"CR RUBI, 102",,Sant Cugat Del Valles,08174,ES-B,ES,ESB58680422
CONFECCIONES FEMA S.A.,"MAR, 75",,Badalona,08911,ES-B,ES,ESA58029497
CONFECCIONES PAZ TORRAS S.A.,"MILA I FONTANALS, 78",,Sabadell,08205,ES-B,ES,ESA08864795
CONFIDE CORREDURIA DE SEGUROS Y REASEGUROS S.A.,"ARIBAU, 185",,Barcelona,08021,ES-B,ES,ESA58564816
CONFORMADOS DEL ALUMINIO S.L.,"ELECTRONICA, 19 7 7B",,Badalona,08915,ES-B,ES,ESB12390662
CONGELADOS ALTAMAR S.A.,"MC MERCABARNA, 42 CASILLA",,Barcelona,08040,ES-B,ES,ESA08792715
CONGELADOS INSERTE S.L.,"AV EUROPA, 31",,Granollers,08401,ES-B,ES,ESB08898595
CONGELADOS Y ESPECIALIDADES BARRUFET S.L.,"LONGITUDINAL, 101 8",,Barcelona,08040,ES-B,ES,ESB65728651
CONGOST PLASTIC S.A.,"CM ROVIRA, S/N",,El Serrat,08187,ES-B,ES,ESA59087494
CONGOST VIGILANCIA Y SEGURIDAD S.L.,"AV ONZE DE SETEMBRE, 30 LC 10",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB59878827
CONGREGACION SIERVAS DE LA PASION,"LLOBET I VALL-LLOSERA, 12",,Barcelona,08032,ES-B,ES,ESR0800086A
CONNECTA CALL CENTER S.L.,"ARAGO, 472 5",,Barcelona,08013,ES-B,ES,ESB62489125
CONSIGNACIONES AIXAE. HIJOS S.A.,"MERC DEL PEIX, 17",,Barcelona,08040,ES-B,ES,ESA08781452
CONSIGNACIONES FALCO S.A.,"BRUC, 148 1",,Barcelona,08037,ES-B,ES,ESA08861502
CONSIGNACIONES MEDITERRANEA S.L.,"MC MERCABARNA, 66 LG MERCAT PEIX 67",,Barcelona,08040,ES-B,ES,ESB08519043
CONSORCI DE L. AUDITORI I L. ORQUESTRA,"LEPANT, 150 PR",,Barcelona,08013,ES-B,ES,ESQ5856358F
CONSORCI DEL CENTRE DE TERMINOLOGIA TERMCAT,"MALLORCA, 272 1",,Barcelona,08037,ES-B,ES,ESQ5856337J
CONSTITUCION ANES S.L.,"VILLARROEL, 204",,Barcelona,08036,ES-B,ES,ESB60721834
CONSTRUCAST 2000 S.L.,"DE FRANCESC PI I MARGALL, 30",,Sant Quirze Del Valles,08192,ES-B,ES,ESB63441828
CONSTRUCCIONES ARPE S.L.,"PS VALLDAURA, 266 BJ 4",,Barcelona,08016,ES-B,ES,ESB08233868
CONSTRUCCIONES BALDO S.A.,"PZ ANSELM CLAVE, 13 1 4",,Terrassa,08221,ES-B,ES,ESA08290405
CONSTRUCCIONES CALER S.A.,"SABINO ARANA, 56 B",,Barcelona,08028,ES-B,ES,ESA08615114
CONSTRUCCIONES CAMPOAMOR S.C.C.L.,"POETA MARAGALL, 58 BJ",,Barbera Del Valles,08210,ES-B,ES,ESF60546470
CONSTRUCCIONES COPSA S.A.,"CORSEGA, 662 EN 2",,Barcelona,08026,ES-B,ES,ESA58091653
CONSTRUCCIONES HERO S.A.,"PS TAULAT, 233 F LC 1",,Barcelona,08019,ES-B,ES,ESA08852147
CONSTRUCCIONES INVERMAPA S.L.,"AV DIAGONAL, 460 5 C",,Barcelona,08006,ES-B,ES,ESB81804510
CONSTRUCCIONES LAHOZ S.L.,"PZ D'ANSELM CLAVE, 1",,Sant Quirze Del Valles,08192,ES-B,ES,ESB08543233
CONSTRUCCIONES MACOERSA S.L.,"AV XILE, 38 BJ",,Barcelona,08028,ES-B,ES,ESB60136470
CONSTRUCCIONES MECANICAS LLAMADA S.L.,"CR COMARCAL 251, S/N",,Cardedeu,08440,ES-B,ES,ESB61711198
CONSTRUCCIONES MECANICAS TINTORE S.A.,"CROM, 105 BJ",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA08622383
CONSTRUCCIONES METALICAS TANESA S.A.,"MONTCLAR, 25",,Cerdanyola Del Valles,08290,ES-B,ES,ESA08544447
CONSTRUCCIONES MOPRESA S.A.,"CIRCUMVAL·LACIO, 5",,Barbera Del Valles,08210,ES-B,ES,ESA58644832
CONSTRUCCIONES PEÑA MATEOS S.L.,"ARAGO, 9 2",,Barcelona,08015,ES-B,ES,ESB08666885
CONSTRUCCIONES PONTE AROSA S.A.,"AV MARQUES DE CASTELLBELL, 11",,Barcelona,08032,ES-B,ES,ESA58574468
CONSTRUCCIONES SABERT S.A.,"CAMELIES, 5",,Barcelona,08024,ES-B,ES,ESA08132136
CONSTRUCCIONES SOLIUS S.A.,"SICILIA, 93 4",,Barcelona,08013,ES-B,ES,ESA08708521
CONSTRUCCIONES Y CONTRATAS SEAL S.L.,"VICTOR BALAGUER, 12",,Rubi,08191,ES-B,ES,ESB59453142
CONSTRUCCIONES Y OBRAS J. LOREN S.L.,"SANT EUSEBI, S/N LC 1",,Barcelona,08006,ES-B,ES,ESB63594998
CONSTRUCCIONES Y PROMOCIONES GALDEANO PEREGRINA S.,"CR CALDES, 163",,Sabadell,08202,ES-B,ES,ESB60328507
CONSTRUCCIONES Y PROMOCIONES PROVICSA S.L.,"SANT COSME, 119 LC",,Terrassa,08222,ES-B,ES,ESB63115505
CONSTRUCCIONES Y SERVICIOS FAUS S.A.,"DIPUTACIO, 427 BJ",,Barcelona,08013,ES-B,ES,ESA58869892
CONSTRUCCIONES Y TUBOS METALICOS RELEM S.L.,"CR C-17, 152",,Granollers,08403,ES-B,ES,ESB08117616
CONSTRUCCIONS A. MIDA NOVAFORMA S.A.,"BALMES, 32 1",,Barcelona,08007,ES-B,ES,ESA58788977
CONSTRUCCIONS DEUMAL S.A.,"LG PISOS LA VINYA, S/N",,Montseny,08469,ES-B,ES,ESA59082644
CONSTRUCCIONS J. VILARDEBO 96 S.L.,"PAU CASALS, S/N CASA ROS XIC",,Santa Agnes De Malanyanes,08430,ES-B,ES,ESB61026605
CONSTRUCCIONS MOLINA COMA S.L.,"CONESTABLE DE PORTUGAL, 43 3",,Granollers,08402,ES-B,ES,ESB17515719
CONSTRUCIA INSTALACIONES S.L.,"AMPOSTA, 14 3 4",,Sant Cugat Del Valles,08174,ES-B,ES,ESB82540535
CONSTRUCTOBRAS DE MONTCADA S.L.,"AV ESCOLAPI CANCER, 35 37 LC",,Barcelona,08033,ES-B,ES,ESB62655030
CONSTRUCTORA DEL CARDONER S.A.,"MUNTANER, 121 1 1",,Barcelona,08036,ES-B,ES,ESA58467622
CONSTRUCTORA PALENTIA S.L.,"MUNTANER, 262 1 4",,Barcelona,08021,ES-B,ES,ESB57148207
CONSTRUCTORA XEDEX S.A.,"BALMES, 334 EN 2",,Barcelona,08006,ES-B,ES,ESA58208042
CONSULTORES DE INGENIERIA MECANICA WORKS S.L.,"ORIENT, 78",,Sant Cugat Del Valles,08172,ES-B,ES,ESB61335691
CONSULTORIOS PROFESOR PLANAS S.L.,"PERE II DE MONTCADA, 16",,Barcelona,08034,ES-B,ES,ESB63614846
CONTAGAS S.A.,"FRA JUNIPER SERRA, S/N 91 93 BJ",,Barcelona,08030,ES-B,ES,ESA08398257
CONTAINERS 2002 S.L.,"CR ROCA, 2 CR BADALONA A MOLLET",,Badalona,08913,ES-B,ES,ESB61894820
CONTEMPORAIN STUDIO S.L.,"ALI BEI, 7 LC",,Barcelona,08010,ES-B,ES,ESB63185904
CONTENIDORS PUBLICS DE CATALUNYA S.A.,"AV CAN ROQUETA, 35",,Torre-Romeu,08202,ES-B,ES,ESA62502968
CONT EUROP LOGISTICA S.L.,"MUELL EVARISTO FERNANDEZ MOD C, S/N DE 3",,Barcelona,08039,ES-B,ES,ESB63833883
CONTRAPUNTO BARCELONA S.L.,"TUSET, 20 6 PL",,Barcelona,08006,ES-B,ES,ESB61124970
CONTRATASE INICIATIVAS LOGISTICAS S.L.,"COMTE MONTEMOLIN, 41",,L'Eixample,08150,ES-B,ES,ESB61972162
CONTRERAS OBRAS Y SERVICIOS S.A.,"LG ZONA INDUSTRIAL DEL CIRCUIT, S/N PAR A",,Montmelo,08160,ES-B,ES,ESA08359150
CONTROLES Y REGISTROS S.A.,"DIPUTACIO, 174 BJ 1",,Barcelona,08011,ES-B,ES,ESA08215279
CONTROLLI DELTA SPAIN S.A.,"TAQUIGRAF GARRIGA, 95 BJ",,Barcelona,08029,ES-B,ES,ESA60034733
CONTROLSA S.A.,"PENEDES, 15",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA58671793
CONTROL Y GESTION INSTRUMENTAL S.A.,"DE LA LLACUNA, 161 2",,Barcelona,08018,ES-B,ES,ESA79059143
CONVER AUTOADHESIVOS S.A.,"AV PUIGCERDA, 14",,Lliça De Vall,08185,ES-B,ES,ESA59092635
CONVISTA CONSULTING & ADVISORS SL,"AV DIAGONAL, 67 5",,Barcelona,08019,ES-B,ES,ESB62421805
COOKING SYSTEMS S.L.,"PG INDUSTRIAL EURAST-MOBIR, 35 KM. 53 CR COMAR C",,Vallgorguina,08471,ES-B,ES,ESB61576419
COOP DE CONSUMO LA PROGRESIVA DE PARETS DEL VALLES,"RAVAL, 2",,Casc Antic,08150,ES-B,ES,ESF08203663
COOP UNIVERSITARIA SAN JORGE,"GRAN VIA DE LES CORTS CATALANES, 585 BA",,Barcelona,08007,ES-B,ES,ESF08174013
COORDONNE S.L.,"MEXIC, 32 BJ",,Barcelona,08004,ES-B,ES,ESB08735920
COPACKER S.A.,"BIZET, 18",,Rubi,08191,ES-B,ES,ESA61209508
COPELEC S.C.C.L.,"MIQUEL ROMEU, 56 4 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESF58334970
COPESA MONTECERRAO S.L.,"AV VENTS, 9",,Badalona,08917,ES-B,ES,ESB63919468
COPRIGES A. 4. S.L.,"CM ANTIC DE SANT CUGAT, 8 4 2",,Mas Rampinyo,08110,ES-B,ES,ESB60596194
CORAPLAX S.L.,"LLUIS COMPANYS, 57",,Granollers,08401,ES-B,ES,ESB08666026
CORCATINSER S.L.,"PG INDUSTRIAL SANT VICENÇ, S/N",,Poligon Industrial Sant Vicenç,08755,ES-B,ES,ESB36009496
CORGRAP S.A.,"NOGUERA, S/N",,Can Carner-Can Bages,08211,ES-B,ES,ESA08521379
COROB SERVICE S.L.,"TORRENT DEL TORTUGUER, 31",,Ripollet,08291,ES-B,ES,ESB60482148
CORPORACIO LIGORIA 200 S.L.,"PJ CAPUTXINS, 6",,Barcelona,08037,ES-B,ES,ESB63668883
CORPORACION PUBLICITARIA S.L.,"CONSELL DE CENT, 425",,Barcelona,08009,ES-B,ES,ESB35218734
CORPORATEJETS XXI S.A.,"AV CORTS CATALANES, 2 2 15",,Sant Cugat Del Valles,08173,ES-B,ES,ESA64262132
CORVER S.A.,"MARC AURELI, 8 BJ 3",,Barcelona,08006,ES-B,ES,ESA08197022
COSCOLLOLA COMERCIAL S.L.,"MOTORS, 160 B J",,Barcelona,08038,ES-B,ES,ESB08366155
COSFER S.A.,"ISAAC PERAL, 2",,Can Castells,08420,ES-B,ES,ESA08231185
COSMETICA XXI S.L.,"VILADOMAT, 66 EN 1",,Barcelona,08015,ES-B,ES,ESB62211024
COSME TODA S.A.,"ENRIC PRAT DE LA RIBA, 60 BS 1",,L'Hospitalet De Llobregat,08901,ES-B,ES,ESA08074718
COSMO FRAGRANCES CGE S.L.U.,"AV SANT JULIA, 260 PG CONGOST",,Granollers,08403,ES-B,ES,ESB08829863
COSTA ANGELET S.A.,"SOL, 7",,Nucli Urba,08410,ES-B,ES,ESA08562373
COTRAVA S. C. C. DE TRANSPORTES DE VOLQUETES AUTON,"PS ZONA FRANCA, 142 IZ EN 4",,Barcelona,08038,ES-B,ES,ESF08748386
COVENTYA TECHNOLOGIES S.L.,"DEL ROMANI, 2 PI CASTELLBISBAL S",,Castellbisbal,08755,ES-B,ES,ESB82770140
COVERNOU S.L.,"AV PRINCIPAL, 47 D",,Sentmenat,08181,ES-B,ES,ESB62608369
COYNSA 2000 S.L.,"MOLLET, 16",,La Llagosta,08120,ES-B,ES,ESB59856351
CPQ IBERICA S.A.U.,"FACUNDO BACARDI I MASSO, 15",,Mollet Del Valles,08100,ES-B,ES,ESA08957904
CRACK ROMPEMOS PRECIOS S.L.,"AV LA FERRERIA, 84",,Terra Nostra,08110,ES-B,ES,ESB61981924
CREACIONES DE VELOURS INDUSTRIALES S.A.,"LLOBREGAT, 21",,Terrassa,08223,ES-B,ES,ESA08393910
CREAPOLIS PARC DE LA CREATIVITAT S.A.,"AV TORRE BLANCA, 57",,Sant Cugat Del Valles,08172,ES-B,ES,ESA63918072
CRIMSON TRACKS S.L.,"SANT ELIES, 33 A 7 1",,Barcelona,08006,ES-B,ES,ESB60060241
CRISTAL PALACE GESTION HOTELERA S.L.,"PRINCESA, 58",,Barcelona,08003,ES-B,ES,ESB65134165
CRISTALSA S.A.,"RB PRIM, 296",,Barcelona,08020,ES-B,ES,ESA58422692
CRIVEN S.A.,"TECNICA, 3",,Badalona,08917,ES-B,ES,ESA08934101
CRYSTAL MEDIA SHOPS S.L.,"SALVADOR ESPRIU, 89 21",,Barcelona,08005,ES-B,ES,ESB60929882
CSC CONSULTORIA I GESTIO S.A.,"AV TIBIDABO, 21 BJ",,Barcelona,08022,ES-B,ES,ESA60363520
C. S. I CENTRAL SUMINISTROSE INSTALACIONES S.L.,"TAMARIT, 114 BJ",,Barcelona,08015,ES-B,ES,ESB60643715
C&S PACKAGING SUPPLIER SL,"DE LA VIDRIERIA, 2",,Poligon Industrial Riera De Caldes,08184,ES-B,ES,ESB65294613
CUALITYS RODES S.A.L.,"CR SABADELL A SENTMENAT, S/N KM. 5",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA61140950
CUARZO INGENIERIA Y SERVICIOS S.L.,"BORRIANA, 8",,Sabadell,08202,ES-B,ES,ESB63207385
CUCHILLERIA ARTERO S.A.,"CALL, 17",,Barcelona,08002,ES-B,ES,ESA58778176
CULLIGAN ESPAÑA S.A.,"DE LA TREPADELLA, 12",,Castellbisbal,08755,ES-B,ES,ESA58012543
CURELL SUÑOL SLP,"PS GRACIA, 65 B 2",,Barcelona,08008,ES-B,ES,ESB08503963
CURTIDOS SUÑE S.A.,"CIUTAT DE GRANADA, 141 BJ",,Barcelona,08018,ES-B,ES,ESA08677270
CUVEE 3000 S.L.,"LEPANT, 149 BX",,Barcelona,08013,ES-B,ES,ESB61225207
CVL COSMETICS SPAIN S.L.,"MAJOR DE SARRIA, 105",,Barcelona,08017,ES-B,ES,ESB63385553
CYCOBOX S.L.,"AV DEL RIU MOGENT, S/N",,Montornes Nord,08170,ES-B,ES,ESB61226791
CYGYC S.A.,"BELGICA, S/N PG PLA LLERONA",,P.O.Pla Llerona,08520,ES-B,ES,ESA08258451
CYKLOP STRAPESA S.A.,"SOLSONES, 54 PI BRUGUERA",,Pla De La Bruguera,08211,ES-B,ES,ESA08134009
DABEER S.A.,"PJ ARRAONA, 18",,Barbera Del Valles,08210,ES-B,ES,ESA08158040
DACTILIX DEX S.L.,"PG INDUSTRIAL DEL SUD, 3 NAV 5 SECTOR P",,Cardedeu,08440,ES-B,ES,ESB60851730
DAEDO S.L.,"BOTANICA, 116",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB58807389
DA GIULIO S.A.,"JOSEP BONASTRE, 24",,Caldes De Montbui,08140,ES-B,ES,ESA58253444
DAILYFLATS S.L.,"MUNTANER, 200 4 3",,Barcelona,08036,ES-B,ES,ESB65464158
DAKE FREGADEROS S.L.U.,"AV DEL RIU MOGENT, 40",,Montornes Nord,08170,ES-B,ES,ESB64728421
DANBEL DISTRIBUCIONES EXCLUSIVAS S.A.,"BARCELONES, 1 P I BORDA NV 3",,Caldes De Montbui,08140,ES-B,ES,ESA61442935
DASSAULT SYSTEMES ESPAÑA S.L.,"AV TORRE BLANCA, 57 2B",,Sant Cugat Del Valles,08172,ES-B,ES,ESB64389760
DATA PLANNING ESPAÑA S.L.,"AV DIAGONAL, 536 PR 1",,Barcelona,08006,ES-B,ES,ESB62688494
DEAKUERDO 2001 S.L.,"L'EQUADOR, 55 BJ",,Barcelona,08029,ES-B,ES,ESB62497219
DEAPLANETA S.L.,"AV DIAGONAL, S/N 662 664",,Barcelona,08034,ES-B,ES,ESB62490461
DECHRA VETERINARY PRODUCTS S.L.U.,"BALMES, 202",,Barcelona,08006,ES-B,ES,ESB83353086
DECOSTYLE S.L.,"ROC BORONAT, 56",,Barcelona,08005,ES-B,ES,ESB60377231
DE DIETRICH EQUIPOS QUIMICOS S.L.,"AV PRINCEP D'ASTURIES, 43 1 5",,Barcelona,08012,ES-B,ES,ESB61720835
DEDON ESPAÑA S.L.U.,"ARAGO, 285 BJ",,Barcelona,08009,ES-B,ES,ESB62804810
DEHISA CEDICAM S.A.,"FRESSER, 21 23",,Mas Rampinyo,08110,ES-B,ES,ESA08030850
DEIN INTER DECOR S.A.,"AV SALVATELLA, 6 20",,Barbera Del Valles,08210,ES-B,ES,ESA08356347
DEISTER S.A.,"SANT PERE CLAVER, 13 BJ",,Barcelona,08017,ES-B,ES,ESA58738147
DEITERS FITOTERAPIA Y COSMETICA S.L.,"RIERA MONTEALEGRE, 49",,Badalona,08915,ES-B,ES,ESB62602503
DELICAT ALIMENT S.L.,"CROM, 99 BS 1",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB62429485
DELSEY ESPAÑA S.A.,"VALENCIA, 307 3 3",,Barcelona,08009,ES-B,ES,ESA78411352
DELTABARNA S.L.U.,"MC MERCABARNA, 3041 LG PABELLON C",,Barcelona,08040,ES-B,ES,ESB58257148
DELTA DORE S.A.,"ANTON DE BORJA, 1 2 13 SMSOT LO",,Rubi,08191,ES-B,ES,ESA58432295
DELTA GRAF S.A.,"MONTNEGRE, 18 B EN 1",,Barcelona,08029,ES-B,ES,ESA08764524
DELUXE 103 S.L.,"GUITARD, 13 BJ",,Barcelona,08014,ES-B,ES,ESB08469116
DENIA Y FORNELLS EMPRESA CONSTRUCTORA S.A.,"RB CATALUNYA, 14 PR 2",,Barcelona,08007,ES-B,ES,ESA08979726
DENIER S.L.,"DOCTOR TRUETA, 122 3 2",,Barcelona,08005,ES-B,ES,ESB08106015
DEPARTAMENTO DE ANESTESIOLOGIA REANIMACION Y DOLOR,"ARIBAU, 173 EN 2",,Barcelona,08036,ES-B,ES,ESB61059671
DEPOSITOS ALMACENES Y MANIPULACIONES PARA EXPORTAC,"CR CIRCUMVAL·LACIO TRAM SIS, S/N",,Barcelona,08040,ES-B,ES,ESA08336349
DE PRODUCTOS QUIMICOS BOTTAZZI ESPAÑOLA S.A.,"ARQUITECTURA, 14 PI CAN CUYAS NV 7",,Can Cuias,08110,ES-B,ES,ESA58134362
DERETIL AGRONUTRITIONAL S.L.,"DE LA LLACUNA, 161 2",,Barcelona,08018,ES-B,ES,ESB64693302
DE RIJKE TRANSPORTES & LOGISTICA ESPAÑA SL,"CAN GORCS LLADO, S/N 12",,Barbera Del Valles,08210,ES-B,ES,ESB43472240
DESARROLLOS CARNICOS S.L.,"CA N'ALZINA, 102",,Torre-Romeu,08202,ES-B,ES,ESB60009594
DESARROLLOS METALICOS S.A.,"CR B-140 (SABADELL-MOLLET), 5 KM.",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESA08603250
DESJOYAUX IBERICA S.A.,"DE LA TREPADELLA, 8",,Castellbisbal,08755,ES-B,ES,ESA43200112
DESMONTES Y FIRMES S.A.,"AV DIAGONAL, 460 5 C",,Barcelona,08006,ES-B,ES,ESA28804409
DESTILERIA LA VALLESANA S.A.,"DE LA INDUSTRIA, 22",,La Can Cortes-Pedra Llarga,08184,ES-B,ES,ESA08562688
DETENCO EMPRESES S.L.,"CASP, 36 3 2",,Barcelona,08010,ES-B,ES,ESB63583561
DEUSTCHE ZURICH PENSIONES ENTIDAD GESTORA DE FONDO,"VIA AUGUSTA, 200",,Barcelona,08021,ES-B,ES,ESA61502282
DIAGNOSIS S.A.,"CORSEGA, 345 BJ",,Barcelona,08037,ES-B,ES,ESA08689333
DIAGNOSTICO POR LA IMAGEN CLINICA SAGRADA FAMILIA,"TORRAS I PUJALT, 1 SO 2",,Barcelona,08022,ES-B,ES,ESB60272119
DIAGONAL PLAZA S.A.,"DOCTOR AUGUST PI I SUNYER, 12 EN",,Barcelona,08034,ES-B,ES,ESA58058595
DIATERM DISTRIBUCIONS S.A.,"CR RUBI, S/N 1503 BP",,Sant Quirze Del Valles,08192,ES-B,ES,ESA61526752
DICAPAK S.A.,"LG LONGITUDINAL, 65 7",,Barcelona,08040,ES-B,ES,ESA59433888
DICEPA PAPELERA DE ENATE S.L.,"CONSELL DE CENT, 205",,Barcelona,08011,ES-B,ES,ESB58120684
DICOEL S.L.,"ALABA, 61 6 8",,Barcelona,08005,ES-B,ES,ESB08808834
DICOMSA MERCHANT S.A.,"NARCIS MONTURIOL, 15",,Mas Rampinyo,08110,ES-B,ES,ESA62755665
DIFUSION CENTRO INVESTIGACION Y PUBLICACIONES DE I,"TRAFALGAR, 10 EN 1",,Barcelona,08010,ES-B,ES,ESB78882552
DIGEC S.A.,"JOSEP PLA, 95",,Barcelona,08019,ES-B,ES,ESA08292211
DIGIPROCES S.A.,"SOLSONES, 87",,Pla De La Bruguera,08211,ES-B,ES,ESA58339771
DIGITAL SCREEN S.L.,"CABALLERO, 89",,Barcelona,08029,ES-B,ES,ESB60673084
DIMOTOR S.A.,"AV ARRAONA, 25 NV A5 A6",,Barbera Del Valles,08210,ES-B,ES,ESA08125916
DINGONATURA S.L.,"DE L'ELECTRONICA, 16",,Terra Nostra,08110,ES-B,ES,ESB62546791
DINNCO SOLUTIONS S.L.,"LLOBATERES, 14",,Barbera Del Valles,08210,ES-B,ES,ESB64659766
DIPUNTOCOM S.L.,"SENECA, 11 BJ",,Barcelona,08006,ES-B,ES,ESB61806485
DIS BOTON S.L.,"VALLES, 34",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB08227993
